timestamp,hum_air,temperature,lumiere
2026-04-22 22:44:59,26.0,30.8,1023
2026-04-22 22:45:01,26.0,30.8,1023
2026-04-22 22:45:03,26.0,30.8,1023
2026-04-22 22:45:05,26.0,30.8,1023
2026-04-22 22:45:08,26.0,30.8,1023
2026-04-22 22:45:10,26.0,30.8,1023
2026-04-22 22:45:12,26.0,30.8,1023
2026-04-23 17:22:26,17.0,34.0,526
2026-04-23 17:22:28,17.0,34.0,529
2026-04-23 17:22:30,17.0,34.0,546
2026-04-23 17:22:32,17.0,34.0,531
2026-04-23 17:22:34,17.0,34.1,547
2026-04-23 17:22:36,17.0,34.1,534
2026-04-23 17:22:38,17.0,34.1,540
2026-04-23 17:22:40,17.0,34.1,547
2026-04-23 17:22:42,17.0,34.1,533
2026-04-23 17:22:44,17.0,34.1,476
2026-04-23 17:22:46,17.0,34.1,481
2026-04-23 17:22:48,17.0,34.1,517
2026-04-23 17:22:50,18.0,34.1,538
2026-04-23 17:22:52,19.0,34.0,532
2026-04-23 17:22:54,20.0,34.0,525
2026-04-23 17:22:56,21.0,34.0,525
2026-04-23 17:22:58,21.0,34.0,533
2026-04-23 17:23:00,20.0,34.0,533
2026-04-23 17:23:02,20.0,33.9,520
2026-04-23 17:23:04,19.0,33.9,530
2026-04-23 17:23:06,19.0,33.9,552
2026-04-23 17:23:08,19.0,33.9,537
2026-04-23 17:23:10,19.0,33.9,534
2026-04-23 17:23:12,19.0,33.9,537
2026-04-23 17:23:14,19.0,33.9,509
2026-04-23 17:23:16,19.0,33.9,538
2026-04-23 17:23:18,18.0,33.9,545
2026-04-23 17:23:20,18.0,33.9,516
2026-04-23 17:23:22,18.0,33.9,534
2026-04-23 17:23:24,18.0,33.9,544
2026-04-23 17:23:26,18.0,34.0,530
2026-04-23 17:23:28,17.0,34.0,545
2026-04-23 17:23:31,17.0,34.0,530
2026-04-23 17:23:33,17.0,34.0,548
2026-04-23 17:23:35,17.0,34.0,528
2026-04-23 17:23:37,17.0,34.0,546
2026-04-23 17:23:39,17.0,34.0,541
2026-04-23 17:23:41,17.0,34.0,536
2026-04-23 17:23:43,17.0,34.0,545
2026-04-23 17:23:45,17.0,34.0,547
2026-04-23 17:23:47,17.0,34.0,533
2026-04-23 17:23:49,17.0,34.0,530
2026-04-23 17:23:51,17.0,34.0,539
2026-04-23 17:23:53,17.0,34.0,539
2026-04-23 17:23:55,17.0,34.0,539
2026-04-23 17:23:57,17.0,34.0,534
2026-04-23 17:23:59,17.0,34.0,542
2026-04-23 17:24:01,17.0,34.0,548
2026-04-23 17:24:03,17.0,34.0,534
2026-04-23 17:24:05,17.0,34.0,547
2026-04-23 17:24:07,17.0,34.0,545
2026-04-23 17:24:09,17.0,34.0,538
2026-04-23 17:24:11,17.0,34.1,547
2026-04-23 17:24:13,17.0,34.1,549
2026-04-23 17:24:15,17.0,34.1,547
2026-04-23 17:24:17,17.0,34.1,547
